airport1,airport2,Oneworld,StarAlliance,Skyteam
AMM,MED,2.0,0.0,1.0
AMM,MRA,2.0,0.0,0.0
AMM,MUC,2.0,0.0,0.0
AMM,ORD,4.0,0.0,0.0
AMM,OSM,2.0,0.0,0.0
AMM,OTP,2.0,0.0,2.0
AMM,RUH,2.0,0.0,2.0
AMM,SAH,2.0,0.0,0.0
AMM,SSH,2.0,0.0,0.0
AMM,TIP,2.0,0.0,0.0
AMM,TLV,2.0,0.0,0.0
AMM,TUN,2.0,0.0,0.0
AMM,TXL,2.0,0.0,0.0
AMM,VIE,2.0,2.0,0.0
AMM,YUL,4.0,0.0,0.0
AMM,ZRH,2.0,0.0,0.0
AMS,BCN,2.0,0.0,4.0
AMS,BIO,2.0,0.0,0.0
AMS,CAN,2.0,0.0,2.0
AMS,CTU,2.0,0.0,2.0
AMS,HEL,3.0,0.0,4.0
AMS,HGH,2.0,0.0,2.0
AMS,HKG,2.0,0.0,2.0
AMS,IBZ,2.0,0.0,0.0
AMS,KUL,2.0,0.0,4.0
AMS,LCY,2.0,0.0,4.0
AMS,LGW,2.0,0.0,0.0
AMS,LHR,4.0,0.0,6.0
AMS,LIS,2.0,2.0,2.0
AMS,OPO,1.0,2.0,0.0
AMS,PEK,2.0,0.0,2.0
AMS,PHL,2.0,0.0,0.0
AMS,PMI,2.0,0.0,0.0
AMS,PVG,2.0,0.0,4.0
AMS,SVQ,2.0,0.0,0.0
AMS,VLC,2.0,0.0,0.0
AMS,XMN,2.0,0.0,2.0
AMS,ZRH,1.0,2.0,2.0
ANC,LAX,2.0,0.0,0.0
ANC,PHX,2.0,0.0,0.0
ANU,CLT,2.0,0.0,0.0
ANU,JFK,2.0,0.0,0.0
ANU,LGW,4.0,0.0,0.0
ANU,MIA,2.0,0.0,0.0
ANU,PUJ,4.0,0.0,0.0
ANU,SKB,4.0,0.0,0.0
ANU,TAB,3.0,0.0,0.0
AOG,PEK,2.0,0.0,0.0
AOJ,CTS,2.0,0.0,0.0
AOJ,HND,2.0,0.0,0.0
AOJ,ITM,2.0,0.0,0.0
AOR,KUL,2.0,0.0,0.0
AOR,SZB,2.0,0.0,0.0
AQG,CAN,2.0,0.0,0.0
AQP,LIM,3.0,0.0,1.0
ARM,SYD,2.0,0.0,0.0
ARN,BCN,2.0,2.0,0.0
ARN,DOH,2.0,0.0,0.0
